Feature,Covered,Defining Type,UML Standard,Filtered
structuredNodeInput,true,StructuredActivityNode,true,true
ownedOperation,true,Interface,true,true
_joinNodeOfJoinSpec,true,[Abstract] ValueSpecification,false,true
supplier,true,Dependency,true,true
subject,true,UseCase,true,true
ownedLiteral,true,Enumeration,true,true
_packageOfOwnedStereotype,false,Stereotype,false,false
handler,true,[Abstract] ExecutableNode,true,true
syncElement,true,[Abstract] Element,true,true
kind,true,Connector,true,false
_writeVariableActionOfValue,true,InputPin,false,true
postCondition,true,ProtocolTransition,true,true
classifier,true,RedefinableTemplateSignature,true,false
_classOfOwnedReception,true,Reception,false,true
_portOfRedefinedPort,true,Port,false,false
outputValue,true,OpaqueAction,true,true
_durationIntervalOfMax,true,Duration,false,false
ownedAttribute,true,Artifact,true,true
owningProperty,true,[Abstract] ValueSpecification,true,true
protectedNode,true,ExceptionHandler,true,true
attribute,true,[Abstract] Classifier,true,false
general,true,[Abstract] Classifier,true,false
_actionExecutionSpecificationOfAction,true,[Abstract] Action,false,false
language,true,OpaqueBehavior,true,true
_readLinkObjectEndActionOfObject,true,InputPin,false,true
_readLinkActionOfResult,true,OutputPin,false,true
_behaviorOfOwnedParameterSet,true,ParameterSet,false,true
oldClassifier,true,ReclassifyObjectAction,true,true
elementImport,true,[Abstract] Namespace,true,true
_operationOfType,false,[Abstract] Type,false,false
predecessorClause,true,Clause,true,true
value,true,LiteralBoolean,true,true
ownedOperation,true,Class,true,true
exit,true,State,true,true
association,true,Property,true,true
_sendObjectActionOfTarget,true,InputPin,false,true
condition,true,ParameterSet,true,true
start,true,[Abstract] ExecutionSpecification,true,true
_classOfSuperClass,true,Class,false,false
_generalizationOfGeneral,true,[Abstract] Classifier,false,false
_createObjectActionOfClassifier,true,[Abstract] Classifier,false,false
isDisjoint,true,GeneralizationSet,true,true
upper,true,Operation,true,false
_interactionConstraintOfMaxint,true,[Abstract] ValueSpecification,false,true
ownedTemplateSignature__from_Classifier,true,[Abstract] Classifier,true,false
inInterruptibleRegion,true,[Abstract] ActivityNode,true,true
_reduceActionOfReducer,true,[Abstract] Behavior,false,false
object,true,UnmarshallAction,true,true
context,true,Diagram,true,true
output,true,[Abstract] Action,true,false
ownedTemplateSignature,true,[Abstract] TemplateableElement,true,true
cfragmentGate,true,CombinedFragment,true,true
_lifelineOfRepresents,true,[Abstract] ConnectableElement,false,false
endType,true,Association,true,false
contract,true,Substitution,true,true
setting,true,Continuation,true,true
realization,true,InformationFlow,true,true
_extensionEndOfType,true,Stereotype,false,false
_occurrenceSpecificationOfCovered,true,Lifeline,false,false
_exceptionHandlerOfHandlerBody,true,[Abstract] ExecutableNode,false,false
_reclassifyObjectActionOfNewClassifier,true,[Abstract] Classifier,false,false
specification,true,Constraint,true,true
node,true,Activity,true,true
_interactionConstraintOfMinint,true,[Abstract] ValueSpecification,false,true
_actionOfLocalPrecondition,true,Constraint,false,true
kind,true,Transition,true,true
ownedConnector,true,[Abstract] StructuredClassifier,true,true
after,true,GeneralOrdering,true,true
useCase,true,[Abstract] Classifier,true,true
profile,true,Stereotype,true,false
_stateOfDeferrableTrigger,true,Trigger,false,true
maxint,true,InteractionConstraint,true,true
trigger,true,Transition,true,true
_receptionOfSignal,true,Signal,false,false
_readIsClassifiedObjectActionOfClassifier,true,[Abstract] Classifier,false,false
_propertyOfOpposite,false,Property,false,false
localPrecondition,true,[Abstract] Action,true,true
owningExpression,true,StringExpression,true,true
action,true,ActionExecutionSpecification,true,true
minint,true,InteractionConstraint,true,true
subgroup,true,[Abstract] ActivityGroup,true,false
isOrdered,true,[Abstract] MultiplicityElement,true,true
definingFeature,true,Slot,true,true
returnInformation,true,AcceptCallAction,true,true
expr,true,Duration,true,true
_stateOfDoActivity,true,[Abstract] Behavior,false,true
edge,true,Activity,true,true
fragment,true,InteractionOperand,true,true
redefinedNode,true,[Abstract] ActivityNode,true,true
_behaviorOfRedefinedBehavior,true,[Abstract] Behavior,false,false
operation,true,CallOperationAction,true,true
method,true,[Abstract] BehavioralFeature,true,true
covered__from_StateInvariant,true,StateInvariant,true,false
represents,true,Lifeline,true,true
insertAt,true,AddStructuralFeatureValueAction,true,true
opposite,true,Property,true,false
inActivity,true,[Abstract] ActivityGroup,true,true
observation,true,[Abstract] Behavior,true,true
_interfaceRealizationOfContract,true,Interface,false,false
_linkEndDestructionDataOfDestroyAt,true,InputPin,false,false
actualGate,true,InteractionUse,true,true
_opaqueExpressionOfBehavior,true,[Abstract] Behavior,false,false
realization,true,Component,true,true
_actionOfInput,true,InputPin,false,false
owningElement,true,Comment,true,true
ownedParameterSet,true,[Abstract] BehavioralFeature,true,true
isComposite,true,State,true,false
result,true,ReadLinkObjectEndAction,true,true
max__from_TimeInterval,true,TimeInterval,true,false
ownedParameter,true,TemplateSignature,true,true
_sendObjectActionOfRequest,true,InputPin,false,true
isStrict,true,ProfileApplication,true,true
