Feature,Covered,Defining Type,UML Standard,Filtered
precondition,true,[Abstract] Behavior,true,true
isTestedFirst,true,LoopNode,true,true
interruptingEdge,true,InterruptibleActivityRegion,true,true
partition,true,Activity,true,true
destroyAt,true,LinkEndDestructionData,true,true
classifier,true,RedefinableTemplateSignature,true,false
endData__from_DestroyLinkAction,true,DestroyLinkAction,true,false
_opaqueExpressionOfResult,false,Parameter,false,false
_connectorOfEnd,true,ConnectorEnd,false,true
event,true,TimeObservation,true,true
default,true,Parameter,true,false
redefinitionContext,true,[Abstract] RedefinableElement,true,false
ownedTemplateSignature,true,[Abstract] TemplateableElement,true,true
importingNamespace,true,ElementImport,true,true
ownedEnd__from_Extension,true,Extension,true,false
_interfaceOfOwnedReception,true,Reception,false,true
_readStructuralFeatureActionOfResult,true,OutputPin,false,true
_generalizationOfGeneral,true,[Abstract] Classifier,false,false
extendedRegion,true,Region,true,true
decisionInput,true,DecisionNode,true,true
edge,true,ActivityPartition,true,true
endData,true,[Abstract] LinkAction,true,true
state,true,Pseudostate,true,true
regionAsOutput,true,ExpansionNode,true,true
language,true,OpaqueExpression,true,true
stateMachine,true,Region,true,true
_artifactOfManifestation,true,Manifestation,false,true
_transitionOfTrigger,true,Trigger,false,true
visibility,true,ElementImport,true,true
_removeVariableValueActionOfRemoveAt,true,InputPin,false,true
input,true,[Abstract] Action,true,false
ownedOperation,true,DataType,true,true
_removeStructuralFeatureValueActionOfRemoveAt,true,InputPin,false,true
_definedTaggedValue,true,Property,false,false
onPort,true,[Abstract] InvocationAction,true,true
postcondition,true,[Abstract] Behavior,true,true
result,true,TestIdentityAction,true,true
isRelative,true,TimeEvent,true,true
loopVariableInput,true,LoopNode,true,false
_templateParameterSubstitutionOfOwnedActual,true,[Abstract] ParameterableElement,false,true
_raiseExceptionActionOfException,true,InputPin,false,true
signal,true,Reception,true,true
packageMerge,true,Package,true,true
_clearAssociationActionOfAssociation,true,Association,false,false
decomposedAs,true,Lifeline,true,true
owningLower,true,[Abstract] ValueSpecification,true,true
protocol,true,Interface,true,true
_diagramOfContext,true,[Abstract] Element,false,false
part,true,[Abstract] StructuredClassifier,true,false
_profileOfMetamodelReference,true,PackageImport,false,true
variable,true,Activity,true,true
nameExpression,true,[Abstract] NamedElement,true,true
node,true,StructuredActivityNode,true,true
_unmarshallActionOfObject,true,InputPin,false,true
_durationIntervalOfMax,true,Duration,false,false
_templateParameterSubstitutionOfFormal,true,TemplateParameter,false,false
receivingPackage,true,PackageMerge,true,true
_structuredClassifierOfPart,false,Property,false,false
_messageOfTarget,true,[Abstract] ValueSpecification,false,true
replyMessage,true,Message,true,true
_readIsClassifiedObjectActionOfResult,true,OutputPin,false,true
elementImport,true,[Abstract] Namespace,true,true
_sendSignalActionOfSignal,true,Signal,false,false
superClass,true,Class,true,false
extension,true,Extend,true,true
_informationFlowOfInformationSource,true,[Abstract] NamedElement,false,false
owningState,true,Constraint,true,true
isStrict,true,ProfileApplication,true,true
guard,true,Transition,true,true
body,true,Clause,true,true
expr,true,Duration,true,true
after,true,GeneralOrdering,true,true
extension,true,ExtensionPoint,true,false
ownedAttribute,true,Artifact,true,true
_portOfProtocol,true,ProtocolStateMachine,false,false
activity__from_StructuredActivityNode,true,StructuredActivityNode,true,false
qualifier,true,Property,true,true
_unmarshallActionOfResult,true,OutputPin,false,true
_durationObservationOfEvent,true,[Abstract] NamedElement,false,false
_objectNodeOfUpperBound,true,[Abstract] ValueSpecification,false,true
_qualifierValueOfQualifier,true,Property,false,false
interface,true,Property,true,true
